h3,lst_c,green_pct
892830ced13ffff,46.98,11.68
892830ced17ffff,47.39,3.63
892830ced1bffff,43.36,13.12
892830ced23ffff,32.33,18.03
892830ced27ffff,31.77,22.91
892830ced2bffff,29.43,42.16
892830ced2fffff,26.57,17.64
892830ced33ffff,43.54,14.61
892830ced37ffff,41.01,14.7
892830ced3bffff,35.28,35.11
892830ced43ffff,32.01,39.49
892830ced47ffff,29.72,45.0
892830ced4bffff,34.18,24.03
892830ced4fffff,30.05,39.32
892830ced53ffff,40.15,10.06
892830ced57ffff,35.07,32.91
892830ced5bffff,39.67,16.79
892830ced63ffff,28.92,42.22
892830ced67ffff,28.77,41.64
892830ced6bffff,27.99,30.39
892830ced6fffff,27.13,23.46
892830ced73ffff,29.9,42.2
892830ced77ffff,29.82,40.97
892830ced7bffff,29.51,38.9
892830ced83ffff,47.05,15.92
892830ced87ffff,46.9,8.27
892830ced8bffff,47.14,14.37
892830ced8fffff,47.36,9.89
892830ced93ffff,47.32,16.01
892830ced97ffff,47.48,15.73
892830ced9bffff,47.7,15.21
892830ceda3ffff,44.67,11.3
892830ceda7ffff,46.74,17.69
892830cedabffff,45.56,7.55
892830cedafffff,44.28,13.43
892830cedb3ffff,45.32,11.16
892830cedb7ffff,47.67,16.38
892830cedbbffff,45.32,9.24
892830cedc3ffff,46.3,12.57
892830cedc7ffff,47.08,12.8
892830cedcbffff,43.77,15.36
892830cedcfffff,43.79,11.52
892830cedd3ffff,46.72,18.31
892830cedd7ffff,47.01,13.4
892830ceddbffff,45.54,16.11
892830cee03ffff,42.15,12.14
892830cee07ffff,41.84,0.0
892830cee0bffff,36.72,8.08
892830cee0fffff,39.63,6.42
892830cee13ffff,41.93,13.88
892830cee17ffff,41.92,6.26
892830cee1bffff,38.85,10.94
892830cee23ffff,23.27,0.0
892830cee27ffff,22.92,0.0
892830cee2bffff,23.01,0.0
892830cee2fffff,22.73,0.0
892830cee33ffff,34.81,0.0
892830cee37ffff,25.17,0.0
892830cee3bffff,28.48,0.0
892830cee43ffff,24.55,0.0
892830cee47ffff,24.77,0.0
892830cee4bffff,25.85,24.78
892830cee4fffff,23.12,0.0
892830cee53ffff,28.05,0.0
892830cee57ffff,33.64,0.0
892830cee5bffff,26.85,30.34
892830cee63ffff,22.88,0.0
892830cee67ffff,22.7,0.0
892830cee6bffff,22.54,0.0
892830cee6fffff,22.52,0.0
892830cee73ffff,26.58,0.0
892830cee77ffff,24.04,0.0
892830cee7bffff,22.99,0.0
892830cee83ffff,43.13,12.03
892830cee87ffff,42.92,6.11
892830cee8bffff,42.13,13.35
892830cee8fffff,41.84,9.97
892830cee93ffff,45.24,10.73
892830cee97ffff,43.64,8.94
892830cee9bffff,43.93,12.85
892830ceea3ffff,38.32,23.04
892830ceea7ffff,34.75,27.81
892830ceeabffff,42.12,4.74
892830ceeafffff,37.13,7.23
892830ceeb3ffff,40.55,24.82
892830ceeb7ffff,33.66,44.8
892830ceebbffff,42.63,5.9
892830ceec3ffff,41.85,11.98
892830ceec7ffff,40.9,19.51
892830ceecbffff,41.52,16.18
892830ceecfffff,38.81,12.52
892830ceed3ffff,44.04,9.41
892830ceed7ffff,43.38,11.73
892830ceedbffff,43.93,14.01
