h3,land,land_frac,wc_code
892830ce383ffff,grassland,0.583,30
892830ce387ffff,developed,0.579,50
892830ce38bffff,grassland,0.812,30
892830ce38fffff,developed,0.741,50
892830ce393ffff,developed,0.669,50
892830ce397ffff,developed,0.575,50
892830ce39bffff,grassland,0.694,30
892830ce3a3ffff,developed,0.633,50
892830ce3a7ffff,developed,0.856,50
892830ce3abffff,developed,0.686,50
892830ce3afffff,grassland,0.709,30
892830ce3b3ffff,developed,0.624,50
892830ce3b7ffff,developed,0.818,50
892830ce3bbffff,developed,0.85,50
892830ce3c3ffff,developed,0.676,50
892830ce3c7ffff,developed,0.874,50
892830ce3cbffff,developed,0.885,50
892830ce3cfffff,developed,0.867,50
892830ce3d3ffff,developed,0.467,50
892830ce3d7ffff,grassland,0.877,30
892830ce3dbffff,developed,0.812,50
892830ce407ffff,grassland,0.955,30
892830ce40bffff,grassland,0.609,30
892830ce40fffff,grassland,0.982,30
892830ce423ffff,grassland,0.927,30
892830ce427ffff,grassland,0.672,30
892830ce42bffff,grassland,0.674,30
892830ce42fffff,developed,0.608,50
892830ce433ffff,grassland,0.964,30
892830ce43bffff,grassland,0.947,30
892830ce463ffff,developed,0.34,50
892830ce467ffff,developed,0.999,50
892830ce46bffff,cropland,0.646,40
892830ce46fffff,developed,0.361,50
892830ce473ffff,grassland,0.662,30
892830ce477ffff,grassland,0.956,30
892830ce47bffff,developed,0.61,50
892830ce503ffff,developed,0.722,50
892830ce507ffff,developed,0.605,50
892830ce50bffff,developed,0.916,50
892830ce50fffff,developed,0.789,50
892830ce517ffff,grassland,0.797,30
892830ce51bffff,developed,0.448,50
892830ce523ffff,developed,0.693,50
892830ce527ffff,developed,0.87,50
892830ce52bffff,developed,0.782,50
892830ce52fffff,developed,0.915,50
892830ce533ffff,woodland,0.498,10
892830ce537ffff,developed,0.818,50
892830ce53bffff,woodland,0.512,10
892830ce543ffff,developed,0.867,50
892830ce547ffff,developed,0.68,50
892830ce54bffff,developed,0.872,50
892830ce54fffff,developed,0.898,50
892830ce553ffff,developed,0.668,50
892830ce557ffff,developed,0.821,50
892830ce55bffff,developed,0.903,50
892830ce563ffff,developed,0.712,50
892830ce567ffff,developed,0.687,50
892830ce56bffff,developed,0.776,50
892830ce56fffff,developed,0.502,50
892830ce573ffff,developed,0.875,50
892830ce577ffff,woodland,0.571,10
892830ce57bffff,developed,0.814,50
892830ce587ffff,grassland,0.991,30
892830ce58fffff,grassland,0.985,30
892830ce5a3ffff,grassland,0.993,30
892830ce5a7ffff,grassland,0.993,30
892830ce5abffff,developed,0.461,50
892830ce5afffff,developed,0.596,50
892830ce5b3ffff,grassland,0.857,30
892830ce5b7ffff,grassland,0.986,30
892830ce5bbffff,grassland,0.883,30
892830ce5cfffff,grassland,0.793,30
892830ce663ffff,developed,0.811,50
892830ce667ffff,developed,0.878,50
892830ce66fffff,developed,0.931,50
892830ce6a3ffff,cropland,0.613,40
892830ce6a7ffff,cropland,0.559,40
892830ce6abffff,developed,0.732,50
892830ce6afffff,cropland,0.347,40
892830ce6b7ffff,cropland,0.757,40
892830ce803ffff,open water,1.0,80
892830ce813ffff,open water,0.856,80
892830ce817ffff,open water,1.0,80
892830ce81bffff,open water,1.0,80
892830ce853ffff,open water,1.0,80
892830ce883ffff,wetland,0.436,90
892830ce887ffff,wetland,0.548,90
892830ce88bffff,wetland,0.551,90
892830ce88fffff,wetland,0.407,90
892830ce893ffff,grassland,0.513,30
892830ce897ffff,wetland,0.653,90
892830ce89bffff,wetland,0.475,90
892830ce8a3ffff,open water,0.713,80
892830ce8a7ffff,open water,0.998,80
892830ce8abffff,open water,1.0,80
892830ce8afffff,open water,1.0,80
892830ce8b3ffff,wetland,0.609,90
892830ce8b7ffff,wetland,0.923,90
892830ce8bbffff,wetland,0.497,90
892830ce8c3ffff,open water,0.719,80
892830ce8c7ffff,open water,0.693,80
892830ce8cbffff,open water,1.0,80
892830ce8cfffff,open water,1.0,80
892830ce8d3ffff,grassland,0.482,30
892830ce8d7ffff,grassland,0.378,30
892830ce8dbffff,open water,0.414,80
892830ce913ffff,open water,1.0,80
892830ce917ffff,open water,1.0,80
892830ce983ffff,wetland,0.829,90
892830ce987ffff,wetland,0.763,90
892830ce98bffff,open water,1.0,80
892830ce98fffff,open water,1.0,80
892830ce993ffff,wetland,0.998,90
892830ce997ffff,wetland,0.989,90
892830ce99bffff,wetland,0.574,90
892830ce9a3ffff,open water,1.0,80
892830ce9a7ffff,open water,1.0,80
892830ce9abffff,open water,1.0,80
892830ce9b3ffff,open water,0.84,80
892830ce9b7ffff,open water,1.0,80
892830ce9bbffff,open water,1.0,80
892830ce9c3ffff,open water,1.0,80
892830ce9c7ffff,open water,1.0,80
892830ce9d3ffff,open water,0.983,80
892830ce9d7ffff,open water,1.0,80
892830ce9dbffff,open water,1.0,80
892830cec03ffff,developed,0.926,50
892830cec07ffff,developed,0.767,50
892830cec0bffff,developed,0.919,50
892830cec0fffff,developed,0.747,50
892830cec13ffff,developed,0.965,50
892830cec17ffff,developed,0.849,50
892830cec1bffff,developed,0.969,50
892830cec23ffff,developed,0.365,50
892830cec27ffff,cropland,0.543,40
892830cec2bffff,cropland,0.49,40
892830cec2fffff,grassland,0.598,30
892830cec33ffff,developed,0.792,50
892830cec37ffff,developed,0.943,50
892830cec3bffff,developed,0.583,50
892830cec43ffff,developed,0.51,50
892830cec47ffff,developed,0.4,50
892830cec4bffff,developed,0.62,50
892830cec4fffff,grassland,0.488,30
892830cec53ffff,developed,0.879,50
892830cec57ffff,grassland,0.647,30
892830cec5bffff,developed,0.886,50
892830cec63ffff,grassland,0.445,30
892830cec67ffff,grassland,0.766,30
892830cec6bffff,wetland,0.687,90
892830cec6fffff,wetland,0.745,90
892830cec73ffff,developed,0.537,50
892830cec77ffff,cropland,0.477,40
892830cec7bffff,cropland,0.473,40
892830cec83ffff,developed,0.673,50
892830cec87ffff,developed,0.748,50
892830cec8bffff,developed,0.432,50
892830cec8fffff,developed,0.857,50
892830cec93ffff,grassland,0.608,30
892830cec97ffff,developed,0.704,50
892830cec9bffff,developed,0.634,50
892830ceca3ffff,developed,0.943,50
892830ceca7ffff,developed,0.829,50
892830cecabffff,developed,0.879,50
892830cecafffff,developed,0.776,50
892830cecb3ffff,developed,0.623,50
892830cecb7ffff,developed,0.783,50
892830cecbbffff,developed,0.904,50
892830cecc3ffff,grassland,0.723,30
892830cecc7ffff,developed,0.83,50
892830ceccbffff,developed,0.846,50
892830ceccfffff,grassland,0.444,30
892830cecd3ffff,grassland,0.591,30
892830cecd7ffff,grassland,0.594,30
892830cecdbffff,developed,0.925,50
892830ced03ffff,grassland,0.605,30
892830ced07ffff,grassland,0.614,30
892830ced0bffff,wetland,0.943,90
892830ced0fffff,wetland,0.909,90
892830ced13ffff,developed,0.909,50
892830ced17ffff,developed,0.778,50
892830ced1bffff,grassland,0.53,30
892830ced23ffff,wetland,0.502,90
892830ced27ffff,wetland,0.593,90
892830ced2bffff,wetland,0.994,90
892830ced2fffff,open water,0.8,80
892830ced33ffff,grassland,0.67,30
892830ced37ffff,grassland,0.542,30
892830ced3bffff,wetland,0.713,90
892830ced43ffff,wetland,0.745,90
892830ced47ffff,wetland,0.946,90
892830ced4bffff,wetland,0.541,90
892830ced4fffff,wetland,0.924,90
892830ced53ffff,grassland,0.769,30
892830ced57ffff,wetland,0.609,90
892830ced5bffff,grassland,0.855,30
892830ced63ffff,wetland,0.999,90
892830ced67ffff,wetland,0.985,90
892830ced6bffff,wetland,0.82,90
892830ced6fffff,wetland,0.745,90
892830ced73ffff,wetland,0.999,90
892830ced77ffff,wetland,0.981,90
892830ced7bffff,wetland,0.986,90
892830ced83ffff,developed,0.884,50
892830ced87ffff,developed,0.796,50
892830ced8bffff,developed,0.79,50
892830ced8fffff,developed,0.691,50
892830ced93ffff,developed,0.555,50
892830ced97ffff,developed,0.749,50
892830ced9bffff,developed,0.841,50
892830ceda3ffff,grassland,0.566,30
892830ceda7ffff,developed,0.857,50
892830cedabffff,developed,0.361,50
892830cedafffff,grassland,0.466,30
892830cedb3ffff,cropland,0.399,40
892830cedb7ffff,developed,0.904,50
892830cedbbffff,developed,0.423,50
892830cedc3ffff,developed,0.894,50
892830cedc7ffff,developed,0.789,50
892830cedcbffff,developed,0.698,50
892830cedcfffff,grassland,0.48,30
892830cedd3ffff,developed,0.652,50
892830cedd7ffff,developed,0.878,50
892830ceddbffff,developed,0.813,50
892830cee03ffff,developed,0.721,50
892830cee07ffff,developed,0.725,50
892830cee0bffff,developed,0.692,50
892830cee0fffff,developed,0.42,50
892830cee13ffff,developed,0.848,50
892830cee17ffff,developed,0.579,50
892830cee1bffff,developed,0.802,50
892830cee23ffff,open water,1.0,80
892830cee27ffff,open water,1.0,80
892830cee2bffff,open water,1.0,80
892830cee2fffff,open water,1.0,80
892830cee33ffff,developed,0.442,50
892830cee37ffff,open water,0.857,80
892830cee3bffff,open water,0.678,80
892830cee43ffff,open water,0.742,80
892830cee47ffff,open water,0.944,80
892830cee4bffff,wetland,0.592,90
892830cee4fffff,open water,1.0,80
892830cee53ffff,open water,0.807,80
892830cee57ffff,developed,0.454,50
892830cee5bffff,wetland,0.525,90
892830cee63ffff,open water,1.0,80
892830cee67ffff,open water,1.0,80
892830cee6bffff,open water,1.0,80
892830cee6fffff,open water,1.0,80
892830cee73ffff,open water,0.89,80
892830cee77ffff,open water,0.992,80
892830cee7bffff,open water,1.0,80
892830cee83ffff,developed,0.874,50
892830cee87ffff,developed,0.768,50
892830cee8bffff,developed,0.907,50
892830cee8fffff,developed,0.43,50
892830cee93ffff,developed,0.69,50
892830cee97ffff,developed,0.831,50
892830cee9bffff,developed,0.878,50
892830ceea3ffff,cropland,0.302,40
892830ceea7ffff,wetland,0.473,90
892830ceeabffff,developed,0.439,50
892830ceeafffff,grassland,0.512,30
892830ceeb3ffff,bare ground,0.308,60
892830ceeb7ffff,wetland,0.59,90
892830ceebbffff,developed,0.52,50
892830ceec3ffff,developed,0.929,50
892830ceec7ffff,developed,0.872,50
892830ceecbffff,developed,0.65,50
892830ceecfffff,developed,0.73,50
892830ceed3ffff,developed,0.832,50
892830ceed7ffff,developed,0.965,50
892830ceedbffff,grassland,0.496,30
