GEOID,pop,pop_moe,income,income_moe,units,units_moe,occupied,occupied_moe,pop65,pop65_moe,acs_year
060133132031,660,277,160484.0,41283.0,222,78,222,78,190,84.00595217006948,2024
060133132032,2549,568,114618.0,29478.0,816,138,773,142,406,159.34553649224065,2024
060133132041,2148,524,71181.0,26571.0,709,134,709,134,322,125.42726976220123,2024
060133132042,1835,595,142615.0,51378.0,620,184,620,184,463,188.21264569629747,2024
060133132043,1621,572,90288.0,12974.0,565,180,541,172,99,52.67826876426369,2024
060133132051,2047,410,114224.0,10117.0,548,89,528,91,235,77.9615289742319,2024
060133132061,1505,455,79955.0,42525.0,413,108,413,108,250,100.13490899781155,2024
060133132062,1628,499,75524.0,51126.0,407,120,407,120,85,56.0,2024
060133132063,1777,716,97344.0,43146.0,442,133,403,134,346,152.6892268629323,2024
060133132064,1157,339,,,468,152,468,152,211,134.8109787814034,2024
060133141021,2662,732,96232.0,23930.0,861,193,803,191,422,191.07851789251455,2024
060133141022,1398,576,106058.0,46576.0,386,124,354,116,50,49.52776998815917,2024
060133141023,2463,522,102569.0,23184.0,710,143,641,130,295,110.88282103193443,2024
060133141031,2627,486,69375.0,20524.0,814,122,814,122,107,80.38656604184557,2024
060133141032,1256,435,83393.0,10186.0,347,102,324,98,210,88.78062851771213,2024
060133141033,1641,469,91898.0,19295.0,475,134,445,126,47,59.983331017875294,2024
060133141051,1879,740,72417.0,43055.0,556,145,556,145,340,150.76140089558734,2024
060133141052,1813,613,52608.0,24214.0,768,199,734,202,337,196.98730923589977,2024
060133141061,1726,563,71589.0,23269.0,564,138,564,138,196,101.10390694725896,2024
060133141062,2562,1817,78039.0,11354.0,548,267,541,267,56,62.20932405998316,2024
060133142001,2406,845,84896.0,20406.0,537,131,507,140,212,103.31989159885913,2024
060133142002,2230,604,83828.0,29173.0,580,126,580,126,197,76.92203845452875,2024
060133142003,2903,744,99186.0,37594.0,668,181,668,181,209,126.3210196285638,2024
060133150001,804,267,134050.0,28019.0,285,89,273,90,168,96.97937925146768,2024
060133150002,2707,533,140735.0,25998.0,893,126,884,125,326,124.23365083583433,2024
060133160001,1334,171,58214.0,24816.0,614,130,596,137,216,76.95453203028396,2024
060133170001,1231,318,86827.0,60244.0,534,126,519,127,156,62.49799996799898,2024
060133170002,928,237,69500.0,68777.0,494,112,426,111,121,60.852280154485584,2024
060133180001,751,227,88571.0,23573.0,382,107,382,107,159,92.36882591004391,2024
060133180002,1112,363,109737.0,12130.0,456,130,456,130,207,73.24616030891995,2024
060133180003,1651,535,99950.0,39195.0,687,172,639,172,228,100.44401425669923,2024
060133190011,1779,331,145179.0,31392.0,794,151,794,151,215,88.95504482602435,2024
060133190012,2281,619,149167.0,43441.0,870,180,820,176,214,103.38278386656069,2024
060133190021,817,273,130000.0,71317.0,420,125,420,125,248,93.93614852653903,2024
060133190022,792,367,120861.0,28750.0,311,135,311,135,82,91.07140056021979,2024
060133190023,1481,402,109524.0,21368.0,609,147,596,147,361,114.9086593777858,2024
060133190024,729,339,86464.0,1367.0,320,165,320,165,70,68.24221567329127,2024
060133200011,1662,382,84345.0,46527.0,459,89,459,89,210,134.41354098453027,2024
060133200012,1614,540,99079.0,19414.0,641,154,606,153,323,100.04498987955368,2024
060133200031,2928,338,171343.0,14731.0,1081,129,1081,129,421,137.37903770226373,2024
060133200041,701,335,121172.0,66408.0,301,110,301,110,113,82.10968274204937,2024
060133200042,1341,440,96545.0,18790.0,772,191,706,197,204,129.4565564195186,2024
060133200043,1171,387,149762.0,74731.0,504,132,504,132,173,104.19213022104884,2024
060133200044,3188,694,169683.0,19238.0,1142,211,1142,211,412,146.92855406625358,2024
060133211011,2269,490,168455.0,17300.0,905,206,863,201,431,132.06816421833082,2024
060133211012,1454,295,123523.0,31243.0,508,127,508,127,364,125.24775447088862,2024
060133211013,1770,503,134012.0,26634.0,598,158,568,154,276,117.90674280973077,2024
060133211014,1775,784,170313.0,56871.0,668,173,668,173,311,169.47566196949933,2024
060133211021,912,280,174485.0,55860.0,455,126,455,126,353,146.37622757811462,2024
060133211022,1608,417,164208.0,27519.0,758,160,715,162,421,197.33220720399393,2024
060133211023,1744,490,148203.0,112002.0,639,208,639,208,384,172.60648886991473,2024
060133211024,1566,376,136296.0,23414.0,723,138,678,128,340,135.09996299037243,2024
060133211031,1733,305,139630.0,16758.0,808,141,748,134,322,81.5659242576212,2024
060133211032,2367,448,202198.0,40861.0,893,158,869,151,589,176.26400653565094,2024
060133211033,542,204,175208.0,89407.0,205,58,205,58,183,64.83054835492293,2024
060133212001,1597,510,147423.0,30966.0,605,214,605,214,170,138.0470934138057,2024
060133212002,1599,622,74643.0,62612.0,590,202,590,202,283,132.0227253165151,2024
060133212003,810,428,110547.0,62833.0,543,245,401,211,67,69.66347680097513,2024
060133212004,1623,508,87005.0,33880.0,736,239,736,239,222,91.95107394696377,2024
060133220001,817,436,60111.0,14276.0,278,102,278,102,23,51.81698563212646,2024
060133220002,1066,536,112862.0,53523.0,278,77,278,77,180,109.32977636490436,2024
060133220003,1919,427,166585.0,49412.0,700,127,700,127,354,124.1370210694618,2024
060133220004,2220,712,202987.0,57021.0,780,186,780,186,595,198.12622239370538,2024
060133220005,800,444,177563.0,88227.0,302,135,302,135,150,103.49879226348489,2024
060133230001,948,459,94929.0,90754.0,380,151,380,151,132,62.68173577685928,2024
060133230002,1272,315,170139.0,41333.0,441,114,441,114,80,52.38320341483518,2024
060133230003,1162,263,159034.0,23540.0,423,93,423,93,304,93.06986622962343,2024
060133230004,1010,329,165729.0,62117.0,373,99,323,85,284,174.8656627242753,2024
060133240021,1931,535,61976.0,23356.0,1110,352,1023,338,400,190.71182448920152,2024
060133240022,1292,444,147045.0,91595.0,522,187,522,187,125,91.43850392476902,2024
060133240023,1708,514,115069.0,30175.0,896,263,873,266,312,136.4587849865299,2024
060133240031,1012,257,82237.0,16467.0,488,119,488,119,62,74.7127833774114,2024
060133240032,1368,395,102847.0,68625.0,823,221,813,222,127,106.19322012256714,2024
060133240033,886,371,138807.0,86555.0,614,203,549,200,117,88.10788840960836,2024
060133240041,662,285,157614.0,35593.0,293,121,241,96,58,64.5445582524197,2024
060133240042,991,369,65833.0,32784.0,637,153,626,152,512,152.24322645030878,2024
060133240043,910,241,97500.0,53933.0,444,116,444,116,88,80.58535847162312,2024
060133250001,1343,384,126685.0,88258.0,597,169,597,169,367,180.6294549623621,2024
060133250002,699,364,,,309,111,133,88,57,90.47098982546837,2024
060133250003,2121,701,153886.0,61021.0,696,208,696,208,337,117.76247280012423,2024
060133250004,1108,383,140025.0,22761.0,391,104,391,104,165,96.26006440887103,2024
060133250005,953,427,163984.0,110529.0,273,118,273,118,152,111.18453129819814,2024
060133260001,2123,386,167583.0,49421.0,917,152,877,158,765,213.1079538637636,2024
060133260002,1155,265,185739.0,44437.0,475,104,425,89,267,97.36015612148535,2024
060133270011,1483,352,157181.0,21625.0,460,102,460,102,112,76.77890335241837,2024
060133270012,2089,550,65353.0,44676.0,787,171,765,170,569,179.6886195617296,2024
