h3,name,holc,access_min,access_km,street_m,access_src,access_snap_m,access_quality
8828301701fffff,Farragut Village SW 3,,59.9,4.8,0.0,routed,4423.0,approach-review
8828301703fffff,Farragut Village SW 4,,71.3,5.71,0.0,routed,5315.0,approach-review
8828301705fffff,Farragut Village SW 2,,54.2,4.33,0.0,routed,3847.0,approach-review
8828301707fffff,Farragut Village SW,,65.6,5.25,0.0,routed,4761.0,approach-review
8828301709fffff,Hercules NW 7,,57.2,4.58,0.0,routed,4185.0,approach-review
882830170bfffff,Farragut Village SW 6,,68.0,5.44,0.0,routed,5049.0,approach-review
882830170dfffff,Bayo Vista NW 8,,48.7,3.89,0.0,routed,3520.0,approach-review
8828301711fffff,Farragut Village SW 8,,90.1,7.21,0.0,routed,6818.0,approach-review
8828301713fffff,Farragut Village W,,131.1,10.49,0.0,routed,7452.0,approach-review
8828301715fffff,Farragut Village SW 5,,83.1,6.65,0.0,routed,6162.0,approach-review
8828301719fffff,Farragut Village SW 9,,110.8,8.86,0.0,routed,6010.0,approach-review
882830171bfffff,Farragut Village SW 10,,190.6,15.25,0.0,routed,6545.0,approach-review
882830171dfffff,Farragut Village SW 7,,79.0,6.32,0.0,routed,5929.0,approach-review
8828301729fffff,Farragut Village,,64.0,5.12,0.0,routed,3299.0,approach-review
8828301741fffff,Hercules NW 4,,57.3,4.58,0.0,routed,2916.0,approach-review
8828301743fffff,Hercules NW 6,,71.5,5.72,0.0,routed,3819.0,approach-review
8828301745fffff,Dylan Apartment Homes NW 2,,36.5,2.92,0.0,routed,2447.0,approach-review
8828301747fffff,Hercules NW 5,,46.9,3.75,0.0,routed,3266.0,approach-review
8828301749fffff,Bayside Apartment Homes N 2,,56.7,4.54,0.0,routed,2324.0,approach-review
882830174bfffff,Bayside Apartment Homes NW 4,,68.3,5.47,0.0,routed,3046.0,approach-review
882830174dfffff,Hercules NW 3,,45.9,3.67,0.0,routed,2006.0,approach-review
8828301751fffff,Bayside Apartment Homes NW 7,,89.1,7.13,0.0,routed,4713.0,approach-review
8828301753fffff,Bayside Apartment Homes NW 9,,173.7,13.9,0.0,routed,5192.0,approach-review
8828301755fffff,Hercules NW 8,,83.6,6.69,0.0,routed,4589.0,approach-review
8828301757fffff,Bayside Apartment Homes NW 8,,95.2,7.62,0.0,routed,5463.0,approach-review
8828301759fffff,Tara Hills Mobile Manor N 6,,82.3,6.59,0.0,routed,3735.0,approach-review
882830175bfffff,Tara Hills Mobile Manor N 7,,161.9,12.96,0.0,routed,4250.0,approach-review
882830175dfffff,Bayside Apartment Homes NW 6,,78.5,6.28,0.0,routed,3861.0,approach-review
8828301761fffff,Bayo Vista NW 4,,30.7,2.46,0.0,routed,2084.0,approach-review
8828301763fffff,Bayo Vista NW 7,,42.2,3.37,0.0,routed,2982.0,approach-review
8828301765fffff,Bayo Vista NW 3,,41.4,3.31,0.0,routed,1497.0,approach-review
