h3,pop,pct65,income,ac_est,ac_src,occupied,ac_homes,ac_covered_homes,ac_coverage,acs_year
8828308dc5fffff,1981.0,9.78,82143.98691824553,56.17,lace,913.6393131563377,513.2325405918351,913.6393131563377,1.0,2024
8828308dc7fffff,2074.0,17.28,70604.13475819888,55.62,lace,874.3264608798485,486.26595218076466,874.3264608798485,1.0,2024
8828308dc9fffff,2623.0,14.01,74728.32239391093,51.92,lace,1029.0437931487777,534.2828719754474,1029.0437931487777,1.0,2024
8828308dcbfffff,2307.0,13.5,97282.48491000627,52.96,lace,859.1249315540779,455.02040103184885,859.1249315540779,1.0,2024
8828308dcdfffff,1922.0,15.46,126700.80171276185,53.09,lace,625.2742343608709,331.94782852080493,625.2742343608709,1.0,2024
8828308dd1fffff,452.0,6.59,102838.70326599824,68.2,lace,69.19155396035015,47.188639800958796,69.19155396035015,1.0,2024
8828308dd3fffff,90.0,12.62,86250.0,68.2,lace,25.39748759253685,17.321086538110134,25.39748759253685,1.0,2024
8828308dd5fffff,868.0,11.4,121661.77974940764,68.2,lace,295.38695985812836,201.45390662324357,295.38695985812836,1.0,2024
8828308dd7fffff,350.0,5.88,86250.0,68.2,lace,40.07330698250024,27.329995362065166,40.07330698250024,1.0,2024
8828308dd9fffff,158.0,12.62,86250.0,68.2,lace,44.45845874062558,30.320668861106647,44.45845874062558,1.0,2024
8828308ddbfffff,5.0,12.62,86250.0,68.2,lace,1.5395442824817234,1.0499692006525354,1.5395442824817234,1.0,2024
8828308dddfffff,915.0,11.19,119636.23632934359,67.32,lace,330.6462611770243,222.5883352962894,330.6462611770243,1.0,2024
8828308de1fffff,1646.0,18.28,114352.65329448707,53.62,lace,587.7373977441321,315.16778267444,587.7373977441321,1.0,2024
8828308de3fffff,2083.0,19.54,129034.79779250784,54.42,lace,663.2461068692703,360.94189654209316,663.2461068692703,1.0,2024
8828308de5fffff,1292.0,21.17,105257.58154737548,54.97,lace,504.77594392651474,277.4815391661091,504.77594392651474,1.0,2024
8828308de7fffff,2294.0,23.04,114805.06816864996,56.3,lace,718.9856453217828,404.7867404217875,718.9856453217828,1.0,2024
8828308de9fffff,960.0,22.47,85931.64453287738,56.52,lace,396.02263099307174,223.8289356904852,396.02263099307174,1.0,2024
8828308debfffff,1912.0,14.98,90944.29848160298,52.54,lace,700.902951605284,368.2580761090139,700.902951605284,1.0,2024
8828308dedfffff,553.0,19.0,95384.20805359169,59.13,lace,222.64512917897156,131.65330706417336,222.64512917897156,1.0,2024
8828308e01fffff,0.0,0.0,,65.01,income-model,,,,,2024
8828308e03fffff,0.0,0.0,,65.01,income-model,,,,,2024
8828308e05fffff,0.0,0.0,,65.01,income-model,,,,,2024
8828308e07fffff,0.0,0.0,,65.01,income-model,,,,,2024
8828308e0dfffff,0.0,0.0,,65.01,income-model,,,,,2024
8828308e11fffff,0.0,0.0,,65.01,income-model,,,,,2024
8828308e13fffff,0.0,0.0,,65.01,income-model,,,,,2024
8828308e15fffff,0.0,0.0,,65.01,income-model,,,,,2024
8828308e17fffff,0.0,0.0,,65.01,income-model,,,,,2024
8828308e21fffff,0.0,0.0,,65.01,income-model,,,,,2024
8828308e23fffff,183.0,17.41,118549.55664964177,59.8,lace,80.39717956644483,48.08116065428815,80.39717956644483,1.0,2024
8828308e25fffff,17.0,19.59,139364.9887220684,65.3,lace,10.113307460347658,6.60398977160702,10.113307460347658,1.0,2024
8828308e27fffff,458.0,18.89,136480.9023107935,65.22,lace,268.3579713157379,175.02165980200297,268.3579713157379,1.0,2024
8828308e29fffff,0.0,0.0,,65.01,income-model,,,,,2024
8828308e2bfffff,0.0,0.0,,65.01,income-model,,,,,2024
8828308e2dfffff,0.0,0.0,,65.01,income-model,,,,,2024
8828308e31fffff,354.0,24.24,160962.0,47.3,lace,171.31741770033406,81.033138572258,171.31741770033406,1.0,2024
8828308e33fffff,325.0,24.24,160962.0,47.3,lace,157.286303318114,74.39642146946791,157.286303318114,1.0,2024
8828308e35fffff,254.0,24.22,160851.06770731023,47.33,lace,122.67580546238315,58.06213191454362,122.67580546238315,1.0,2024
8828308e37fffff,360.0,24.24,160962.0,47.3,lace,173.96633038418196,82.28607427171806,173.96633038418196,1.0,2024
8828308e39fffff,0.0,0.0,,65.01,income-model,,,,,2024
8828308e3bfffff,157.0,24.24,160962.0,47.3,lace,76.10584941544685,35.99806677350636,76.10584941544685,1.0,2024
8828308e3dfffff,173.0,24.24,160962.0,47.3,lace,83.59702615295778,39.54139337034903,83.59702615295778,1.0,2024
