h3,canopy_pct,row_canopy_pct,canopy_m2,row_m2,assessed_m2,coverage_frac,canopy_source,canopy_year,canopy_quality
88283012b3fffff,0.0,0.0,0.0,0.0,,,chm-legacy,2009-2020,coverage-unknown
88283012b5fffff,3.906920212277317,0.6697559916008978,29856.0,19755.0,764170.2,0.9988469585859328,usfs-2022,2022,full
88283012b7fffff,3.6311869971528488,1.0926425919676004,10702.0,8440.0,294736.68,0.38530402932661717,usfs-2022,2022,partial
88283012b9fffff,10.613563690658088,6.813134068839981,81147.0,148175.0,764558.28,0.999358583145444,usfs-2022,2022,full
88283012bbfffff,5.083772969629956,5.440233475830318,7812.0,16563.0,153672.48,0.20089418246558663,usfs-2022,2022,partial
88283012bdfffff,2.583858948468957,1.5604890604890604,18968.0,8811.0,734111.28,0.9594921869925319,usfs-2022,2022,partial
88283012c1fffff,11.906870558598863,3.813669132544881,91137.0,58791.0,765417.24,1.0,usfs-2022,2022,full
88283012c3fffff,16.75333735052541,9.931862929451585,128215.0,117255.0,765310.68,1.0,usfs-2022,2022,full
88283012c5fffff,16.68861396243062,7.057924083760011,127746.0,91030.0,765470.16,0.9999981711948821,usfs-2022,2022,full
88283012c7fffff,12.751974592757884,5.280780494773685,97599.0,114570.0,765362.88,0.9999971182696918,usfs-2022,2022,full
88283012c9fffff,26.91473451535531,7.8529873311134075,206024.0,34668.0,765468.0,1.0,usfs-2022,2022,full
88283012cbfffff,26.624292921643534,2.487109721449724,203772.0,46705.0,765360.72,0.9999990761071447,usfs-2022,2022,full
88283012cdfffff,34.210444637776575,2.821339586692071,261888.0,4774.0,765522.0,0.9999987241079115,usfs-2022,2022,full
88283012d1fffff,17.609975303576864,9.693004909373578,134742.0,137807.0,765147.24,0.999998488932093,usfs-2022,2022,full
88283012d3fffff,12.579607451606964,10.6055163688726,86817.0,101242.0,690142.68,0.9020979568707527,usfs-2022,2022,partial
88283012d5fffff,18.338153232814083,8.373719252364118,140324.0,93587.0,765202.68,0.9999989115677047,usfs-2022,2022,full
88283012d7fffff,14.34272883659127,15.60893354382085,109736.0,121434.0,765097.92,1.0,usfs-2022,2022,full
88283012d9fffff,15.926931152634344,6.218583089363185,121873.0,79455.0,765200.52,1.0,usfs-2022,2022,full
88283012dbfffff,23.18769727072366,11.989192739431575,177407.0,106128.0,765090.72,0.9999967148544222,usfs-2022,2022,full
88283012ddfffff,14.028280486577167,2.030937826555419,107352.0,65139.0,765254.16,0.9999989996405,usfs-2022,2022,full
88283012e1fffff,8.652886605558841,0.0,66196.0,0.0,,,chm-legacy,2009-2020,coverage-unknown
88283012e3fffff,1.457549704459968,0.0,78.0,0.0,5359.68,0.00700274363972905,usfs-2022,2022,partial
88283012e5fffff,6.5863004580689,12.006489994591671,50390.0,9372.0,,,chm-legacy,2009-2020,coverage-unknown
88283012e7fffff,0.0,0.0,0.0,0.0,10203.48,0.01333050233305276,usfs-2022,2022,partial
88283012e9fffff,7.096823300775617,3.343299809730905,36586.0,46086.0,515527.56,0.6734287076336924,usfs-2022,2022,partial
