h3,lidar_pct,lidar_coverage
8828308ca5fffff,0.4772,0.4667
8828308cadfffff,0.0,0.1524
8828308cc1fffff,0.0,0.3982
8828308cc3fffff,0.0,0.0052
8828308cc5fffff,0.0,0.9967
8828308cc7fffff,0.0,0.0965
8828308cc9fffff,13.5087,0.8733
8828308ccbfffff,4.3227,0.9544
8828308ccdfffff,0.0,0.8556
8828308cddfffff,2.1446,0.3726
8828308ce1fffff,0.0,0.7188
8828308ce5fffff,0.3574,0.863
8828308ce9fffff,0.2939,1.0
8828308cebfffff,0.0,0.147
8828308cedfffff,1.202,1.0
8828308d01fffff,22.1656,1.0
8828308d03fffff,15.4555,1.0
8828308d05fffff,33.6664,1.0
8828308d07fffff,19.3704,1.0
8828308d09fffff,19.7733,1.0
8828308d0bfffff,26.9981,1.0
8828308d0dfffff,23.2916,1.0
8828308d11fffff,21.4895,1.0
8828308d13fffff,15.5297,1.0
8828308d15fffff,12.2466,1.0
8828308d17fffff,14.0167,1.0
8828308d19fffff,23.5575,1.0
8828308d1bfffff,16.723,1.0
8828308d1dfffff,24.2838,1.0
8828308d21fffff,43.4065,1.0
8828308d23fffff,23.2562,1.0
8828308d25fffff,15.7852,1.0
8828308d27fffff,12.0037,1.0
8828308d29fffff,37.798,1.0
8828308d2bfffff,51.1743,1.0
8828308d2dfffff,15.1479,1.0
8828308d31fffff,34.5434,1.0
8828308d33fffff,21.2457,1.0
8828308d35fffff,15.5177,1.0
8828308d37fffff,11.1983,1.0
8828308d39fffff,30.1207,1.0
8828308d3bfffff,29.2815,1.0
8828308d3dfffff,56.4108,1.0
8828308d41fffff,17.3153,1.0
8828308d43fffff,21.9546,1.0
8828308d45fffff,46.8708,1.0
8828308d47fffff,41.9927,1.0
8828308d49fffff,36.9336,1.0
8828308d4bfffff,16.5198,1.0
8828308d4dfffff,18.8616,1.0
8828308d51fffff,26.7013,1.0
8828308d53fffff,17.7559,1.0
8828308d55fffff,14.2552,1.0
8828308d57fffff,39.5384,1.0
8828308d59fffff,37.0133,1.0
8828308d5bfffff,29.6065,1.0
8828308d5dfffff,32.7554,1.0
8828308d61fffff,54.125,1.0
8828308d63fffff,52.4232,1.0
8828308d65fffff,28.7042,1.0
8828308d67fffff,42.0852,1.0
8828308d69fffff,24.614,1.0
8828308d6bfffff,40.5762,1.0
8828308d6dfffff,30.3755,1.0
8828308d81fffff,0.3671,0.9807
8828308d83fffff,0.0,0.2231
8828308d85fffff,3.7153,0.8607
8828308d87fffff,0.0,0.008
8828308d89fffff,6.7923,1.0
8828308d8bfffff,8.7036,1.0
8828308d8dfffff,7.2533,1.0
8828308d91fffff,0.0,0.5801
8828308d93fffff,0.0,0.0088
8828308d95fffff,0.0,0.1336
8828308d99fffff,40.1136,1.0
8828308d9bfffff,11.1944,0.7083
8828308d9dfffff,7.145,0.9606
8828308da1fffff,0.0,0.0003
8828308da5fffff,0.0,0.1151
8828308da9fffff,6.6938,0.991
8828308dabfffff,0.0143,0.1884
8828308dadfffff,5.3987,0.799
8828308dc1fffff,10.209,1.0
8828308dc3fffff,9.9275,1.0
8828308dc5fffff,9.648,1.0
8828308dc7fffff,10.3636,1.0
8828308dc9fffff,11.7455,1.0
8828308dcbfffff,12.0539,1.0
8828308dcdfffff,10.1046,1.0
8828308dd1fffff,7.2989,1.0
8828308dd3fffff,6.8632,1.0
8828308dd5fffff,16.3012,1.0
8828308dd7fffff,21.5471,1.0
8828308dd9fffff,0.9969,1.0
8828308ddbfffff,0.0,0.6109
