h3,canopy_pct,row_canopy_pct,row_m2,canopy_m2,assessed_m2,coverage_frac,flat_frac
8828301357fffff,46.416579296202045,35.37338573834924,13260.0,355443.0,1247103.36,1.0,0.2722
8828301359fffff,38.718828981596566,22.27180527383367,11036.0,296537.0,1246619.52,1.0,0.3963
882830135bfffff,51.86055964599481,0.0,0.0,397130.0,1247005.44,1.0,0.3366
882830135dfffff,37.229501228909875,0.0,0.0,285151.0,1246763.52,1.0,0.5011
8828301361fffff,29.068731330535513,14.660691421254802,69103.0,222708.0,1247598.72,1.0,0.2168
8828301363fffff,16.353412097120458,5.756808106396454,85715.0,125273.0,1247598.72,1.0,0.2941
8828301365fffff,10.834952890505626,2.047631048387097,179101.0,83017.0,1247748.48,1.0,0.2869
8828301367fffff,12.114539478543467,3.559975644408362,136846.0,92808.0,1247754.24,1.0,0.2597
8828301369fffff,30.96722356135539,13.461674070939992,70687.0,237270.0,1247374.08,1.0,0.3097
882830136bfffff,22.624467819839122,10.465661379795296,132013.0,173324.0,1247397.12,1.0,0.2654
882830136dfffff,23.009233610341642,14.795048550885776,132422.0,176308.0,1247616.0,1.0,0.1783
8828301601fffff,0.0,0.0,0.0,0.0,1244920.32,1.0,1.0
8828301605fffff,0.0,0.0,0.0,0.0,1245231.36,1.0,1.0
8828301609fffff,0.0,0.0,0.0,0.0,1245093.12,1.0,1.0
882830160dfffff,0.0,0.0,0.0,0.0,1245352.32,1.0,1.0
8828301621fffff,0.0,0.0,0.0,0.0,1245882.24,1.0,1.0
8828301625fffff,0.0,0.0,0.0,0.0,1245980.16,1.0,1.0
8828301627fffff,0.0,0.0,0.0,0.0,1245980.16,1.0,1.0
8828301629fffff,0.0,0.0,0.0,0.0,1245709.44,1.0,1.0
882830162bfffff,0.0,0.0,0.0,0.0,1245744.0,1.0,1.0
882830162dfffff,0.0,0.0,0.0,0.0,1245830.4,1.0,1.0
8828301641fffff,0.0,0.0,0.0,0.0,1245231.36,1.0,1.0
8828301643fffff,0.0,0.0,0.0,0.0,1245231.36,1.0,1.0
8828301645fffff,0.0,0.0,0.0,0.0,1245306.24,1.0,1.0
8828301647fffff,0.0,0.0,0.0,0.0,1245340.8,1.0,1.0
8828301649fffff,0.0,0.0,0.0,0.0,1245064.32,1.0,1.0
882830164bfffff,0.0,0.0,0.0,0.0,1245087.36,1.0,1.0
882830164dfffff,0.0,0.0,0.0,0.0,1245156.48,1.0,1.0
8828301661fffff,0.0,0.0,0.0,0.0,1245553.92,1.0,1.0
8828301663fffff,0.0,0.0,0.0,0.0,1245231.36,1.0,1.0
8828301665fffff,0.0,0.0,0.0,0.0,1245657.6,1.0,1.0
8828301667fffff,0.0,0.0,0.0,0.0,1245686.4,1.0,1.0
8828301669fffff,0.0,0.0,0.0,0.0,1245409.92,1.0,1.0
882830166bfffff,0.0,0.0,0.0,0.0,1245456.0,1.0,1.0
882830166dfffff,0.0,0.0,0.0,0.0,1245530.88,1.0,1.0
8828301701fffff,0.0,0.0,0.0,0.0,1246239.36,1.0,1.0
8828301703fffff,0.0,0.0,0.0,0.0,1247523.84,1.0,1.0
8828301705fffff,0.0,0.0,0.0,0.0,1247546.88,1.0,1.0
8828301707fffff,0.0,0.0,0.0,0.0,1246400.64,1.0,1.0
8828301709fffff,0.0,0.0,0.0,0.0,1246314.24,1.0,1.0
882830170bfffff,0.0,0.0,0.0,0.0,1246129.92,1.0,1.0
882830170dfffff,0.0,0.0,0.0,0.0,1246233.6,1.0,1.0
8828301711fffff,0.0,0.0,0.0,0.0,1246222.08,1.0,1.0
8828301713fffff,0.0,0.0,0.0,0.0,1246245.12,1.0,1.0
8828301715fffff,0.0,0.0,0.0,0.0,1246325.76,1.0,1.0
8828301719fffff,0.0,0.0,0.0,0.0,1247155.2,1.0,1.0
882830171bfffff,0.0,0.0,0.0,0.0,1246233.6,1.0,1.0
882830171dfffff,0.0,0.0,0.0,0.0,1246193.28,1.0,1.0
8828301729fffff,0.0,0.0,0.0,0.0,1247564.16,1.0,1.0
8828301741fffff,0.0,0.0,0.0,0.0,1245951.36,1.0,1.0
8828301743fffff,0.0,0.0,0.0,0.0,1245968.64,1.0,1.0
8828301745fffff,0.0,0.0,0.0,0.0,1246055.04,1.0,1.0
8828301747fffff,0.0,0.0,0.0,0.0,1247074.56,1.0,1.0
8828301749fffff,0.0,0.0,0.0,0.0,1245795.84,1.0,1.0
882830174bfffff,0.0,0.0,0.0,0.0,1247057.28,1.0,1.0
882830174dfffff,0.0,0.0,0.0,0.0,1245911.04,1.0,1.0
8828301751fffff,0.0,0.0,0.0,0.0,1245899.52,1.0,1.0
8828301753fffff,0.0,0.0,0.0,0.0,1245945.6,1.0,1.0
8828301755fffff,0.0,0.0,0.0,0.0,1246014.72,1.0,1.0
8828301757fffff,0.0,0.0,0.0,0.0,1246049.28,1.0,1.0
8828301759fffff,0.0,0.0,0.0,0.0,1245767.04,1.0,1.0
882830175bfffff,0.0,0.0,0.0,0.0,1245795.84,1.0,1.0
882830175dfffff,0.0,0.0,0.0,0.0,1245853.44,1.0,1.0
8828301761fffff,0.0,0.0,0.0,0.0,1246285.44,1.0,1.0
8828301763fffff,0.0,0.0,0.0,0.0,1246337.28,1.0,1.0
8828301765fffff,0.0,0.0,0.0,0.0,1246406.4,1.0,1.0
8828301767fffff,0.0,0.0,0.0,0.0,1246498.56,1.0,1.0
8828301769fffff,0.0,0.0,0.0,0.0,1247057.28,1.0,1.0
882830176bfffff,0.0,0.0,0.0,0.0,1246487.04,1.0,1.0
882830176dfffff,0.0,0.0,0.0,0.0,1247460.48,1.0,1.0
8828301a09fffff,0.0,0.0,0.0,0.0,1249643.52,1.0,0.9993
8828301a41fffff,0.0,0.0,22113.0,0.0,1249476.48,1.0,0.9664
8828301a43fffff,0.013366395958739317,0.15003750937734434,7667.0,102.0,1249701.12,1.0,0.9939
8828301a45fffff,0.04240764812714919,0.0,82714.0,325.0,1249585.92,1.0,0.9577
8828301a47fffff,0.06589922487764864,0.0,42169.0,505.0,1249908.48,1.0,0.972
8828301a49fffff,0.0036886757654002213,0.0,17176.0,28.0,1249228.8,1.0,0.9974
8828301a4bfffff,0.0,0.0,0.0,0.0,1249326.72,1.0,0.9922
8828301a4dfffff,0.3397487610925435,0.02973535533749628,58095.0,2603.0,1249488.0,1.0,0.9545
8828301a51fffff,0.0,0.0,0.0,0.0,1249390.08,1.0,0.9996
8828301a55fffff,0.0,0.0,0.0,0.0,1249482.24,1.0,0.9998
8828301a57fffff,0.0,0.0,0.0,0.0,1249568.64,1.0,1.0
8828301a59fffff,0.0,0.0,0.0,0.0,1249274.88,1.0,0.9993
8828301a5bfffff,0.0,0.0,0.0,0.0,1249228.8,1.0,1.0
8828301a5dfffff,0.0,0.0,0.0,0.0,1249505.28,1.0,0.9924
8828301a61fffff,0.0,0.0,0.0,0.0,1249908.48,1.0,0.9791
8828301a65fffff,0.0,0.0,0.0,0.0,1250369.28,1.0,1.0
8828301a69fffff,0.07143153402675687,0.0,33638.0,547.0,1249868.16,1.0,0.982
8828301a6bfffff,0.060372558598250574,0.27788303650372614,45475.0,463.0,1249839.36,1.0,0.9525
8828301a6dfffff,0.005528807390172545,0.0,17781.0,42.0,1250179.2,1.0,0.9887
8828301b41fffff,0.0,0.0,0.0,0.0,1250634.24,1.0,1.0
8828301b49fffff,0.0,0.0,0.0,0.0,1250421.12,1.0,1.0
8828301b4bfffff,0.0,0.0,0.0,0.0,1250484.48,1.0,0.9981
8828301b4dfffff,0.0,0.0,0.0,0.0,1250680.32,1.0,1.0
8828301b59fffff,0.0,0.0,0.0,0.0,1250271.36,1.0,1.0
8828301b5dfffff,0.0,0.0,0.0,0.0,1250703.36,1.0,1.0
8828305245fffff,0.9768127522973699,1.302000635122261,17902.0,7506.0,1254234.24,1.0,0.9222
8828305261fffff,26.467617377250896,5.919003115264798,1740.0,203370.0,1254539.52,1.0,0.5233
8828305263fffff,0.4076985234702123,6.106369008535785,8237.0,3132.0,1254574.08,1.0,0.9766
