h3,land,land_frac,wc_code
8929aeb1dbbffff,grassland,0.78,30
8929aeb1dc3ffff,developed,0.585,50
8929aeb1dc7ffff,developed,0.739,50
8929aeb1dcbffff,developed,0.868,50
8929aeb1dcfffff,developed,0.609,50
8929aeb1dd3ffff,developed,0.945,50
8929aeb1dd7ffff,developed,0.979,50
8929aeb1ddbffff,developed,0.785,50
8929aeb1e03ffff,grassland,0.954,30
8929aeb1e07ffff,grassland,0.983,30
8929aeb1e0bffff,grassland,0.965,30
8929aeb1e0fffff,grassland,0.978,30
8929aeb1e13ffff,grassland,0.378,30
8929aeb1e17ffff,grassland,0.801,30
8929aeb1e1bffff,grassland,0.944,30
8929aeb1e23ffff,grassland,0.977,30
8929aeb1e27ffff,grassland,0.958,30
8929aeb1e2bffff,grassland,0.902,30
8929aeb1e2fffff,grassland,0.855,30
8929aeb1e33ffff,grassland,0.928,30
8929aeb1e37ffff,grassland,0.951,30
8929aeb1e3bffff,grassland,0.968,30
8929aeb1e43ffff,grassland,0.937,30
8929aeb1e47ffff,grassland,0.838,30
8929aeb1e4bffff,grassland,0.693,30
8929aeb1e4fffff,grassland,0.899,30
8929aeb1e53ffff,grassland,0.983,30
8929aeb1e57ffff,grassland,0.988,30
8929aeb1e5bffff,grassland,0.894,30
8929aeb1e63ffff,grassland,0.796,30
8929aeb1e67ffff,grassland,0.616,30
8929aeb1e6bffff,grassland,0.945,30
8929aeb1e6fffff,grassland,0.809,30
8929aeb1e73ffff,grassland,0.903,30
8929aeb1e77ffff,grassland,0.862,30
8929aeb1e7bffff,grassland,0.979,30
8929aeb1e83ffff,developed,0.602,50
8929aeb1e87ffff,developed,0.649,50
8929aeb1e8bffff,developed,0.798,50
8929aeb1e8fffff,developed,0.561,50
8929aeb1e93ffff,developed,0.708,50
8929aeb1e97ffff,developed,0.916,50
8929aeb1e9bffff,developed,0.698,50
8929aeb1ea3ffff,grassland,0.494,30
8929aeb1ea7ffff,bare ground,0.619,60
8929aeb1eabffff,grassland,0.904,30
8929aeb1eafffff,grassland,0.824,30
8929aeb1eb3ffff,developed,0.913,50
8929aeb1eb7ffff,developed,0.405,50
8929aeb1ebbffff,grassland,0.79,30
8929aeb1ec3ffff,grassland,0.995,30
8929aeb1ec7ffff,developed,0.713,50
8929aeb1ecbffff,grassland,0.984,30
8929aeb1ecfffff,grassland,0.943,30
8929aeb1ed3ffff,developed,0.524,50
8929aeb1ed7ffff,developed,0.746,50
8929aeb1edbffff,grassland,0.963,30
8929aeb2003ffff,developed,0.935,50
8929aeb2007ffff,developed,0.966,50
8929aeb200bffff,developed,0.772,50
8929aeb200fffff,developed,0.844,50
8929aeb2013ffff,developed,0.805,50
8929aeb2017ffff,developed,0.639,50
8929aeb2023ffff,developed,0.938,50
8929aeb2027ffff,developed,0.968,50
8929aeb202bffff,developed,0.861,50
8929aeb202fffff,developed,0.912,50
8929aeb2033ffff,developed,0.889,50
8929aeb2037ffff,developed,0.88,50
8929aeb203bffff,developed,0.876,50
8929aeb2043ffff,developed,0.456,50
8929aeb2047ffff,bare ground,0.481,60
8929aeb204bffff,bare ground,0.675,60
8929aeb204fffff,bare ground,0.723,60
8929aeb2053ffff,developed,0.633,50
8929aeb205bffff,grassland,0.48,30
8929aeb2063ffff,bare ground,0.502,60
8929aeb2067ffff,developed,0.854,50
8929aeb206bffff,bare ground,0.399,60
8929aeb206fffff,bare ground,0.59,60
8929aeb2073ffff,bare ground,0.496,60
8929aeb2077ffff,developed,0.793,50
8929aeb207bffff,bare ground,0.697,60
8929aeb2083ffff,developed,0.667,50
8929aeb2087ffff,developed,0.977,50
8929aeb208bffff,bare ground,0.486,60
8929aeb208fffff,developed,0.766,50
8929aeb2093ffff,developed,0.912,50
8929aeb2097ffff,developed,0.959,50
8929aeb209bffff,bare ground,0.442,60
8929aeb20a3ffff,developed,0.625,50
8929aeb20a7ffff,developed,0.674,50
8929aeb20abffff,developed,0.852,50
8929aeb20afffff,developed,0.844,50
8929aeb20b3ffff,developed,0.925,50
8929aeb20b7ffff,developed,0.956,50
8929aeb20bbffff,developed,0.375,50
8929aeb20cbffff,developed,0.788,50
8929aeb20d3ffff,developed,0.767,50
8929aeb20d7ffff,developed,0.854,50
8929aeb20dbffff,developed,0.768,50
8929aeb2103ffff,developed,0.9,50
8929aeb2107ffff,developed,0.952,50
8929aeb210bffff,developed,0.915,50
8929aeb210fffff,developed,0.948,50
8929aeb2113ffff,developed,0.708,50
8929aeb2117ffff,developed,0.969,50
8929aeb211bffff,developed,0.621,50
8929aeb2123ffff,developed,0.964,50
8929aeb2127ffff,developed,0.817,50
8929aeb212bffff,developed,0.985,50
8929aeb212fffff,developed,0.914,50
8929aeb2133ffff,developed,0.936,50
8929aeb2137ffff,developed,0.848,50
8929aeb213bffff,developed,0.847,50
8929aeb2143ffff,developed,0.956,50
8929aeb2147ffff,developed,0.796,50
8929aeb214bffff,developed,0.724,50
8929aeb214fffff,developed,0.899,50
8929aeb2153ffff,developed,0.961,50
8929aeb2157ffff,developed,0.942,50
8929aeb215bffff,developed,0.892,50
8929aeb2163ffff,developed,0.933,50
8929aeb2167ffff,developed,0.968,50
8929aeb216bffff,developed,0.882,50
8929aeb216fffff,developed,0.92,50
8929aeb2173ffff,developed,0.912,50
8929aeb2177ffff,developed,0.929,50
8929aeb217bffff,developed,0.857,50
8929aeb2183ffff,developed,0.742,50
8929aeb2187ffff,developed,0.727,50
8929aeb218bffff,developed,0.825,50
8929aeb218fffff,developed,0.492,50
8929aeb2193ffff,developed,0.961,50
8929aeb2197ffff,developed,0.976,50
8929aeb219bffff,developed,0.759,50
8929aeb21a3ffff,developed,0.912,50
8929aeb21a7ffff,developed,0.967,50
8929aeb21abffff,developed,0.847,50
8929aeb21afffff,developed,0.971,50
8929aeb21b3ffff,developed,0.855,50
8929aeb21b7ffff,developed,0.861,50
8929aeb21bbffff,developed,0.878,50
8929aeb21c3ffff,developed,0.819,50
8929aeb21c7ffff,developed,0.906,50
8929aeb21cbffff,developed,0.972,50
8929aeb21cfffff,developed,0.967,50
8929aeb21d3ffff,developed,0.885,50
8929aeb21d7ffff,developed,0.961,50
8929aeb21dbffff,developed,0.875,50
8929aeb2203ffff,grassland,0.85,30
8929aeb2207ffff,developed,0.761,50
8929aeb220bffff,cropland,0.752,40
8929aeb220fffff,bare ground,0.606,60
8929aeb2213ffff,grassland,0.744,30
8929aeb2217ffff,grassland,0.679,30
8929aeb221bffff,cropland,0.682,40
8929aeb2223ffff,developed,0.478,50
8929aeb2227ffff,developed,0.435,50
8929aeb222bffff,grassland,0.758,30
8929aeb222fffff,developed,0.637,50
