GEOID,pop,pop_moe,income,income_moe,units,units_moe,occupied,occupied_moe,pop65,pop65_moe,acs_year
060290058031,1589,589,79683.0,28230.0,570,184,538,184,339,229.5952961190625,2024
060290058032,1215,366,55982.0,39287.0,606,148,493,143,117,92.8654941299512,2024
060290058041,3517,877,69336.0,9610.0,917,214,917,214,244,142.74802975873257,2024
060290058042,1154,669,,,407,181,407,181,86,78.49203781276162,2024
060290058043,1421,386,87583.0,14728.0,521,158,521,158,142,73.35529974037323,2024
060290058051,1530,270,87138.0,15230.0,517,96,517,96,153,74.46475676452586,2024
060290058052,923,264,107500.0,25640.0,354,87,354,87,134,70.66823897621902,2024
060290058061,1482,385,125962.0,29801.0,561,120,538,118,162,77.13624310270757,2024
060290058062,2727,479,129028.0,35743.0,805,98,753,110,219,112.60550608207397,2024
060290058063,1143,489,104625.0,68202.0,328,115,275,95,54,61.40032573203501,2024
060290059001,772,410,,,232,96,232,96,129,98.82307422864359,2024
060290059002,747,364,52008.0,34397.0,333,125,333,125,77,60.93439094632849,2024
060290059003,2973,816,62791.0,32433.0,1050,244,964,243,110,99.83486364992943,2024
060290060021,3188,398,,,0,14,0,14,85,64.8613906727261,2024
060290060031,1288,429,52123.0,43334.0,694,172,632,183,534,252.11901951261035,2024
060290060032,1064,527,102167.0,96209.0,326,128,282,135,49,72.18032973047436,2024
060290060033,2187,1250,,,921,436,761,419,607,441.0340122938366,2024
060290060034,1384,676,44792.0,25739.0,641,274,552,267,33,58.61740355901138,2024
060290060041,997,192,66406.0,32280.0,587,112,488,100,333,104.35037134576953,2024
060290060042,443,141,61065.0,29931.0,323,89,259,74,184,87.75534171775527,2024
060290060061,1734,351,96367.0,8508.0,781,183,747,172,473,137.99637676402958,2024
060290060062,841,381,161860.0,52363.0,441,140,371,128,191,87.06893820416096,2024
060290060063,1592,602,107059.0,76295.0,588,161,498,151,264,108.2774214691133,2024
060290060091,871,296,114746.0,57380.0,626,219,392,121,307,127.283148923964,2024
060290060092,2252,524,123566.0,52388.0,988,267,873,272,768,326.3586983673026,2024
060290060101,1961,304,129439.0,17092.0,934,145,786,106,604,152.97058540778355,2024
060290060102,1455,338,100625.0,26988.0,652,115,584,122,405,131.20594498726038,2024
060290060111,1548,434,86838.0,37568.0,650,111,580,123,333,117.00427342623003,2024
060290060112,1663,351,86719.0,30263.0,775,142,648,120,580,163.99390232566574,2024
060290060121,1377,306,113000.0,92696.0,525,116,456,112,238,116.957257149781,2024
060290060122,1450,589,119926.0,79725.0,649,182,549,186,466,245.2610853763801,2024
060290061011,1514,660,42925.0,31146.0,697,218,604,202,271,145.04482065899492,2024
060290061012,1096,446,62037.0,25107.0,608,173,568,175,303,131.08012816594282,2024
060290061013,1194,391,64196.0,49744.0,486,155,486,155,130,95.3205119583398,2024
060290061021,617,259,81223.0,9862.0,244,97,220,89,18,48.49742261192856,2024
060290061022,1109,275,85132.0,15633.0,326,88,326,88,95,67.29784543356496,2024
060290061023,1307,545,89597.0,67770.0,644,271,644,271,248,189.4280866186427,2024
060290061024,1641,479,86840.0,33147.0,801,183,667,141,431,152.9378958924177,2024
060290062011,1388,332,70402.0,30559.0,415,68,384,61,91,66.31741852635702,2024
060290062012,1050,357,63456.0,9077.0,293,65,279,66,130,54.62600113499065,2024
060290062021,2129,897,49507.0,25398.0,451,154,451,154,10,48.79549159502341,2024
060290062022,1294,481,41528.0,25854.0,426,125,357,92,156,66.1362230551458,2024
060290062023,1855,597,73393.0,14086.0,473,131,473,131,84,70.71774883294857,2024
060290062024,2126,618,82563.0,14793.0,475,135,475,135,87,66.4529909033446,2024
060290063011,1613,382,73784.0,18523.0,474,104,474,104,233,92.05976319760984,2024
060290063012,1937,602,36987.0,9490.0,555,137,552,137,101,55.21775076911409,2024
060290063031,3420,759,33750.0,15504.0,794,128,754,126,79,61.45730225123781,2024
060290063032,986,361,35179.0,23245.0,276,89,229,86,81,68.40321629865075,2024
060290063033,1031,367,35478.0,13306.0,326,89,283,89,40,58.71115737234278,2024
060290063041,1319,532,50052.0,18791.0,360,119,324,117,140,92.1737489744233,2024
060290063042,1532,528,72778.0,22603.0,346,96,346,96,78,64.48255578061404,2024
060290063043,1410,476,37952.0,5415.0,345,104,345,104,86,69.04346457123947,2024
060290064031,1755,918,73456.0,44773.0,417,225,398,223,54,70.73895673530957,2024
060290064032,1441,454,36163.0,19853.0,398,114,398,114,143,94.72064188971694,2024
060290064033,1162,587,,,307,133,307,133,85,82.23746105030237,2024
060290064034,1337,453,35313.0,9890.0,511,145,460,139,158,104.4222198576529,2024
060290064041,1629,549,20562.0,2806.0,611,236,597,237,175,105.37551897855593,2024
060290064042,1976,468,45000.0,8541.0,509,104,494,100,167,79.62411694957753,2024
060290064051,1090,405,53597.0,7497.0,400,124,299,81,167,77.13624310270757,2024
060290064052,1282,362,80870.0,20413.0,320,82,320,82,84,67.54998149518622,2024
060290064061,1212,484,24236.0,8875.0,423,142,396,143,235,126.5029643921438,2024
060290064062,1617,570,31691.0,12784.0,407,122,407,122,167,101.00495037373169,2024
060290064063,863,413,34861.0,9150.0,362,146,275,138,101,78.05126520435142,2024
060290065001,926,339,35455.0,29200.0,621,148,434,154,109,66.59579566308972,2024
060290065002,1824,390,48705.0,11114.0,269,112,145,77,53,56.06246516163912,2024
060290065003,978,399,,,359,118,335,110,184,102.22524150130437,2024
