h3,name,holc,access_min,access_km,street_m,access_src,access_snap_m,access_quality
8929ac4997bffff,Southland R.V. Park NE 34,,107.4,8.6,0.0,routed,1283.0,approach-review
8929ac499a7ffff,Southland R.V. Park NE 13,,110.1,8.81,0.0,routed,790.0,approach-review
8929ac499abffff,Southland R.V. Park NE 20,,104.9,8.4,365.0,routed,882.0,approach-review
8929ac499afffff,Southland R.V. Park NE 18,,111.1,8.89,0.0,routed,788.0,approach-review
8929ac499dbffff,Southland R.V. Park E 16,,89.5,7.16,388.0,routed,450.0,approach-review
8929ac49b03ffff,Historic Vineyard Apartments NW 7,,92.3,7.38,0.0,routed,1351.0,approach-review
8929ac49b07ffff,Historic Vineyard Apartments NW 14,,111.1,8.89,0.0,routed,1191.0,approach-review
8929ac49b0bffff,Historic Vineyard Apartments NW 6,,88.7,7.1,0.0,routed,1064.0,approach-review
8929ac49b0fffff,Historic Vineyard Apartments NW 13,,106.3,8.5,0.0,routed,881.0,approach-review
8929ac49b13ffff,Historic Vineyard Apartments NW 4,,92.6,7.41,0.0,routed,1380.0,approach-review
8929ac49b17ffff,Historic Vineyard Apartments NW 9,,114.0,9.12,0.0,routed,1501.0,approach-review
8929ac49b1bffff,Historic Vineyard Apartments NW 3,,88.3,7.07,0.0,routed,1036.0,approach-review
8929ac49b23ffff,Historic Vineyard Apartments NW 26,,111.8,8.94,0.0,routed,1248.0,approach-review
8929ac49b27ffff,Village at Lakeside E 74,,112.9,9.03,325.0,routed,325.0,approach-review
8929ac49b2bffff,Historic Vineyard Apartments NW 25,,107.6,8.6,358.0,routed,695.0,approach-review
8929ac49b2fffff,Village at Lakeside E 80,,111.6,8.93,295.0,routed,1233.0,approach-review
8929ac49b33ffff,Historic Vineyard Apartments NW 21,,113.2,9.06,0.0,routed,1365.0,approach-review
8929ac49b37ffff,Village at Lakeside E 76,,115.7,9.26,0.0,routed,552.0,approach-review
8929ac49b3bffff,Historic Vineyard Apartments NW 19,,108.6,8.69,0.0,routed,995.0,approach-review
8929ac49b63ffff,Historic Vineyard Apartments NW 17,,99.6,7.97,549.0,routed,348.0,approach-review
8929ac49b67ffff,Historic Vineyard Apartments NW 23,,103.8,8.3,262.0,routed,683.0,approach-review
8929ac49b6fffff,Historic Vineyard Apartments NW 22,,101.4,8.11,365.0,routed,489.0,approach-review
8929ac49b73ffff,Historic Vineyard Apartments NW 10,,100.6,8.05,0.0,routed,933.0,approach-review
8929ac49b77ffff,Historic Vineyard Apartments NW 18,,104.0,8.32,0.0,routed,699.0,approach-review
8929ac49b87ffff,Historic Vineyard Apartments NW 8,,81.2,6.5,0.0,routed,1797.0,approach-review
8929ac49b8bffff,Historic Vineyard Apartments NW 2,,74.4,5.95,0.0,routed,1760.0,approach-review
8929ac49b8fffff,Historic Vineyard Apartments NW 5,,97.1,7.77,0.0,routed,1736.0,approach-review
8929ac49ba3ffff,Historic Vineyard Apartments NW 20,,123.8,9.9,0.0,routed,1376.0,approach-review
8929ac49ba7ffff,Southland R.V. Park NE 38,,114.2,9.13,0.0,routed,1444.0,approach-review
8929ac49babffff,Historic Vineyard Apartments NW 16,,116.4,9.31,0.0,routed,1400.0,approach-review
8929ac49bafffff,Historic Vineyard Apartments NW 24,,118.3,9.46,0.0,routed,1534.0,approach-review
8929ac49bb3ffff,Historic Vineyard Apartments NW 15,,111.2,8.9,0.0,routed,1586.0,approach-review
8929ac49bb7ffff,Southland R.V. Park NE 37,,115.4,9.23,0.0,routed,1545.0,approach-review
8929ac49bbbffff,Historic Vineyard Apartments NW 12,,119.8,9.58,0.0,routed,1673.0,approach-review
8929ac49bc7ffff,Historic Vineyard Apartments NW,,89.5,7.16,0.0,routed,1131.0,approach-review
8929ac49c13ffff,Weedpatch W 5,,69.0,5.52,370.0,routed,560.0,approach-review
8929ac49c2fffff,Historic Vineyard Apartments W 21,,65.9,5.27,254.0,routed,262.0,approach-review
8929ac49c67ffff,Historic Vineyard Apartments W 10,,52.3,4.19,511.0,routed,282.0,approach-review
8929ac49c6fffff,Historic Vineyard Apartments W 4,,48.2,3.86,430.0,routed,356.0,approach-review
8929ac49c83ffff,Weedpatch W 10,,77.6,6.21,0.0,routed,893.0,approach-review
8929ac49c87ffff,Weedpatch W 14,,85.3,6.83,0.0,routed,363.0,approach-review
8929ac49c8bffff,Weedpatch W 6,,73.0,5.84,0.0,routed,522.0,approach-review
8929ac49c8fffff,Weedpatch W 9,,75.9,6.07,249.0,routed,751.0,approach-review
8929ac49c93ffff,Weedpatch W 11,,81.8,6.54,0.0,routed,1023.0,approach-review
8929ac49c97ffff,Weedpatch W 15,,89.8,7.19,0.0,routed,721.0,approach-review
8929ac49c9bffff,Weedpatch W 7,,76.4,6.11,0.0,routed,795.0,approach-review
8929ac49ca3ffff,Weedpatch W 19,,83.1,6.65,303.0,routed,167.0,approach-review
8929ac49ca7ffff,Weedpatch W 25,,82.8,6.63,650.0,routed,167.0,approach-review
8929ac49cb3ffff,Weedpatch W 18,,84.4,6.75,111.0,routed,287.0,approach-review
8929ac49cb7ffff,Weedpatch W 23,,87.6,7.01,727.0,routed,138.0,approach-review
8929ac49cbbffff,Weedpatch W 13,,82.0,6.56,700.0,routed,94.0,network-estimate
8929ac49cc7ffff,Weedpatch W 2,,66.2,5.29,343.0,routed,986.0,approach-review
8929ac49cd3ffff,Weedpatch W,,67.3,5.38,0.0,routed,876.0,approach-review
8929ac49cd7ffff,Weedpatch W 3,,69.2,5.53,0.0,routed,1030.0,approach-review
8929ac49d03ffff,Southland R.V. Park E 6,,79.8,6.39,377.0,routed,176.0,approach-review
8929ac49d07ffff,Southland R.V. Park E 2,,84.1,6.73,384.0,routed,369.0,approach-review
8929ac49d0bffff,Southland R.V. Park E 10,,76.2,6.1,243.0,routed,460.0,approach-review
8929ac49d0fffff,Southland R.V. Park E 5,,82.3,6.58,0.0,routed,369.0,approach-review
8929ac49d13ffff,Southland R.V. Park SE 4,,83.1,6.65,0.0,routed,438.0,approach-review
